"Scenario","Estimate","SD","CV"
"a_m1",33.66,4.39,0.13
"a_m2",38.12,6.36,0.17
"a_m3",34.25,8.86,0.26
"a_m3_s1",32.57,8.19,0.25
"a_m3_s2",12.29,1.7,0.14
"a_m3_s3",36.59,9.46,0.26
"a_m3_s4",19.96,6.21,0.31
"b_m1",43.74,6.23,0.14
"b_m2",50.1,9.01,0.18
"b_m3",27.45,8.69,0.32
"b_m3_s1",25.47,7.53,0.3
"b_m3_s2",10.69,0.89,0.08
"b_m3_s3",29.31,9.27,0.32
"b_m3_s4",15.22,2.67,0.18
"v1_ct",36.15,2.61,0.07
"v1_m1",53.22,8.89,0.17
"v1_m2",61.73,13.21,0.21
"v1_m3",29.91,10.07,0.34
"v1_m3_s1",27.63,8.52,0.31
"v1_m3_s2",10.84,0.83,0.08
"v1_m3_s3",32.67,10.98,0.34
"v1_m3_s4",16.06,2.63,0.16
"v3_m1",26.19,1.63,0.06
"v3_m2",26.31,1.6,0.06
"v3_m3",25.23,5.61,0.22
"v3_m3_s1",24.06,5.46,0.23
"v3_m3_s2",16.17,3.33,0.21
"v3_m3_s3",27.61,6.13,0.22
"v3_m3_s4",22.64,8.94,0.39
"v7_m2",63.84,18.39,0.29
"v7_m3",15.76,3.08,0.2
"v7_m3_s1",14.05,2.33,0.17
"v7_m3_s2",8.91,0.81,0.09
"v7_m3_s3",17.26,3.37,0.2
"v7_m3_s4",10.09,1.12,0.11
